model,style,few_shot,n,balanced_accuracy,ci_low,ci_high,accuracy,auc,f1,fpr,fnr,mean_overall,file
llama-3.3-70b,default,0,60,0.5,0.5,0.5,0.5,0.585,0.6666666666666666,1.0,0.0,8.8,metrics_llama-3.3-70b__default__fs0.json
llama-3.3-70b,default,2,60,0.5,0.5,0.5,0.5,0.6338888888888888,0.6666666666666666,1.0,0.0,8.433333333333334,metrics_llama-3.3-70b__default__fs2.json
llama-3.3-70b,plain,0,60,0.5333333333333333,0.5,0.5833333333333334,0.5333333333333333,0.52,0.6818181818181819,0.9333333333333333,0.0,8.233333333333333,metrics_llama-3.3-70b__plain__fs0.json
llama-3.3-70b,plain,2,60,0.5,0.5,0.5,0.5,0.5944444444444444,0.6666666666666666,1.0,0.0,8.55,metrics_llama-3.3-70b__plain__fs2.json
llama-3.3-70b,rubric_first,0,60,0.5,0.5,0.5,0.5,0.5961111111111111,0.6666666666666666,1.0,0.0,8.133333333333333,metrics_llama-3.3-70b__rubric_first__fs0.json
llama-3.3-70b,rubric_first,2,60,0.5,0.5,0.5,0.5,0.56,0.6666666666666666,1.0,0.0,8.133333333333333,metrics_llama-3.3-70b__rubric_first__fs2.json
llama-3.3-70b,strict_gatekeeper,0,60,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,0.0,8.0,metrics_llama-3.3-70b__strict_gatekeeper__fs0.json
llama-3.3-70b,strict_gatekeeper,2,60,0.5,0.5,0.5,0.5,0.5911111111111111,0.6666666666666666,1.0,0.0,8.033333333333333,metrics_llama-3.3-70b__strict_gatekeeper__fs2.json
llama-3.3-70b,terse,0,60,0.5,0.5,0.5,0.5,0.5533333333333333,0.6666666666666666,1.0,0.0,8.333333333333334,metrics_llama-3.3-70b__terse__fs0.json
llama-3.3-70b,terse,2,60,0.5,0.5,0.5,0.5,0.6333333333333333,0.6666666666666666,1.0,0.0,8.533333333333333,metrics_llama-3.3-70b__terse__fs2.json
qwen-2.5-72b,default,0,55,0.5,0.5,0.5,0.4727272727272727,0.6339522546419099,0.6419753086419753,1.0,0.0,7.236363636363636,metrics_qwen-2.5-72b__default__fs0.json
qwen3-235b,default,0,60,0.5333333333333333,0.47098214285714285,0.5972222222222222,0.5333333333333333,0.6755555555555556,0.6744186046511628,0.9,0.03333333333333333,7.383333333333334,metrics_qwen3-235b__default__fs0.json
